cohort	n_aggressive_patients	n_reference_patients	acadl_median_aggressive	acadl_median_reference	direction	p_value	fdr
GSE202051	11	11	0.0092	0.0192	down	0.532747	0.7728
Peng_et_al	4	4	0.0021	0.0004	up	0.77283	0.7728
