cnv_source	n_aggressive	n_reference	median_cnv_aggressive	median_cnv_reference	direction_in_aggressive	p_value
washu	47	47	0.02308	0.0211	higher	0.811726
bcm	41	26	0.019	0.021	lower_(loss)	0.757478
